username,works,tokens,bestScore,firstPlaces,secondPlaces,thirdPlaces,zeroPlaces
Азизбек,69,4550,5,9,7,23,30
@the_elv,9,1900,5,5,4,0,0
@Erika_Demons_moon,15,1550,5,3,5,3,4
@forLansely,13,1450,5,2,6,5,0
@alenxxz,5,1100,5,3,2,0,0
@sseltraeh,9,1050,5,2,3,3,1
@macsheacaich,6,1000,5,3,0,2,1
@DablinElkiPalki,4,1000,5,3,1,0,0
@venera_chan,7,900,5,2,2,2,1
@desu_chaan,6,800,5,2,2,0,2
@Bonja007,8,750,5,1,3,3,1
@ayanamiurey,4,700,5,2,0,2,0
@Nunasw,3,650,5,2,0,1,0
@crystalloli,5,600,5,1,2,2,0
@Elloree,2,600,5,2,0,0,0
@journalistdeer,4,500,5,1,1,2,0
@ianmaysky,3,450,5,1,1,1,0
@Rina_ds,3,400,5,1,0,2,0
@Tabayume,2,400,5,1,1,0,0
@ChrezDev,1,300,5,1,0,0,0
@aistenokd,1,300,5,1,0,0,0
@kazeivaa,4,250,4,0,2,1,1
@Seraphimss,3,250,4,0,2,1,0
@Podpolniy_Krisich,2,200,4,0,2,0,0
@vivka_wuu,2,200,4,0,2,0,0
@yukidaruma8,2,150,4,0,1,1,0
@ShriMpik1,5,150,3,0,0,3,2
@YormiFB,1,100,4,0,1,0,0
Peachu ~,1,100,4,0,1,0,0
@DBcrimson,2,100,3,0,0,2,0
@Pixe1m4n,1,50,3,0,0,1,0
AnVpAr,1,50,3,0,0,1,0
